run,date,condition,build_height(mm),num_of_layers,frames_per_layer,window_x(pixels),window_y(pixels),window_w(pixels),window_h(pixels),frame_rate(Hz),exp_time(ms),delay(ms)
16,2018-04-24,1,0.03,1,800,312,302,384,370,800,0.024957,675
17,2018-04-24,1,0.48,20,800,312,302,384,370,800,0.024957,675
18,2018-04-24,1,2.70,20,1000,312,447,384,80,3200,0.024957,950
19,2018-04-24,1,3.81,20,1000,464,302,80,370,3200,0.024957,950
20,2018-04-24,2,5.19,20,800,312,302,384,370,800,0.024957,675
21,2018-04-24,2,6.93,20,1000,312,447,384,80,3200,0.024957,950
22,2018-04-24,2,8.16,20,1000,464,302,80,370,3200,0.024957,950
23,2018-04-24,3,10.26,20,800,312,302,384,370,800,0.024957,675
24,2018-04-24,3,11.88,20,1000,312,447,384,80,3200,0.024957,950
25,2018-04-24,3,12.99,20,1000,464,302,80,370,3200,0.024957,950
26,2018-04-24,4,15.18,20,800,312,302,384,370,800,0.029975,675
27,2018-04-24,4,16.80,20,1000,312,447,384,80,3200,0.029975,950
28,2018-04-24,4,17.91,20,1000,464,302,80,370,3200,0.029975,950
29,2018-04-24,5,20.46,20,800,312,302,384,370,800,0.04503,675
30,2018-04-24,5,22.08,20,1000,312,447,384,80,3200,0.04503,950
31,2018-04-24,5,23.16,20,1000,464,302,80,370,3200,0.04503,950
32,2018-04-24,6,25.26,20,800,312,302,384,370,800,0.050049,0
33,2018-04-24,6,27.27,10,1000,312,447,384,80,3200,0.04503,200
34,2018-04-24,6,27.80,10,1000,464,302,80,370,3200,0.04503,200
35,2018-04-24,7,30.33,20,800,312,302,384,370,800,0.024957,0
36,2018-04-24,7,32.04,20,1000,312,447,384,80,3200,0.024957,250
37,2018-04-24,7,33.09,20,1000,464,302,80,370,3200,0.024957,200
38,2018-04-25,8,35.19,20,800,312,302,384,370,800,0.024957,100
39,2018-04-25,8,37.02,20,1000,312,447,384,80,3200,0.024957,400
40,2018-04-25,8,38.10,20,1000,464,302,80,370,3200,0.024957,400
41,2018-04-25,9,40.38,20,800,312,302,384,370,800,0.019938,500
42,2018-04-25,9,42.21,20,1000,312,447,384,80,3200,0.019938,750
43,2018-04-25,9,43.23,20,1000,464,302,80,370,3200,0.019938,750
44,2018-04-25,10,45.03,1,1000,312,302,384,370,800,0.015055,800
45,2018-04-25,10,48.03,6,1000,312,302,384,370,800,0.015055,800
